station_id,station_name,lat,lon
224,224 - Caramuel,40.40913630273305,-3.728533714316331
226,226 - Sierra Toledana,40.39901531507069,-3.6607768678037744
228,228 - San DelfÃ­n,40.39440607959559,-3.708042972844556
235,235 - Embajadores 191,40.38925864357911,-3.690358964335348
227,227 - Concordia,40.39382977920336,-3.665936242935637
229,229 - C.D. ConcepciÃ³n,40.43715089959262,-3.64835857929032
231,231 - Derechos Humanos,40.43965673033275,-3.6557656204708775
232,232 - JosÃ© MarÃ­a Pereda,40.43272086245887,-3.6485306152875134
233,233 - MarquÃ©s de Corbera 12,40.422962108947424,-3.6555552857442697
234,234 - MarquÃ©s de Corbera 52,40.42620714320088,-3.651034981803642
236,236 - Paseo Imperial,40.40765396169372,-3.7172213778842007
237,237 - Pablo Iglesias,40.451333,-3.710525
245,245 - Galileo,40.4364,-3.71019
238,238 - San GermÃ¡n 5,40.45619382579544,-3.69293767517953
239,239 - Francos RodrÃ­guez,40.45673408797698,-3.708002730875242
240,240 - Avenida Brasilia,40.43666,-3.66096
248,248 - Torre Cepsa,40.47435,-3.68797
241,241 - Camilo JosÃ© Cela,40.4378,-3.66779
242,242 - Avenida Bruselas,40.43865,-3.66301
243,243 - Cartagena,40.43503,-3.67012
244,244 - Hospital ClÃ­nico,40.44003,-3.71757
246,246 - Santa Engracia 87,40.43604,-3.69928
254,254 - PÃ­o XII,40.46041,-3.67712
249,249 - Manuel Caldeiro,40.47938,-3.68532
250,250 - Serrano 113,40.44106,-3.68609
251,251 - CorazÃ³n de MarÃ­a,40.44421,-3.66683
252,252 - ChamartÃ­n,40.4716,-3.68391
253,253 - Doctor Fleming,40.45546,-3.68844
255,255 - LÃ³pez Pozas,40.46361,-3.68514
256,256 - Reina Victoria,40.44635,-3.71383
257,257 - INEF,40.43896,-3.72997
258,258 - Ciudad Universitaria 1,40.44375,-3.72699
259,259 - Ciudad Universitaria 2,40.44342,-3.72693
260,260 - Facultad BiologÃ­a,40.4483322,-3.7272945
261,261 - Facultad Derecho,40.45109,-3.72937
247,247 - Zurbano,40.43837,-3.69281
